Player,Team,Conference,Date,Position,Height,Weight,Age,Draft_Year,Seasons_in_league,Season,Season_short,Pre_draft_Team,Real_value,Height_CM,Weight_KG,Last_Season
David Robinson,San Antonio Spurs,,25-Mar-90,C,7'1,250,24,1987,0,1989-1990,1990,Navy,1,216,113,0
Kevin Johnson,Phoenix Suns,,18-Mar-90,PG,6'1,180,23,1987,2,1989-1990,1990,California,1,185,81,0
Rony Seikaly,Miami Heat,,11-Mar-90,C,6'11,230,24,1988,1,1989-1990,1990,Syracuse,1,211,104,0
Hakeem Olajuwon,Houston Rockets,,4-Mar-90,C,7'0,255,27,1984,5,1989-1990,1990,Houston,1,213,115,0
David Robinson,San Antonio Spurs,,25-Feb-90,C,7'1,250,24,1987,0,1989-1990,1990,Navy,1,216,113,0
Tom Chambers,Phoenix Suns,,18-Feb-90,PF,6'10,220,30,1981,8,1989-1990,1990,Utah,1,208,99,0
Tim Hardaway,Golden State Warriors,,4-Feb-90,PG,6'0,175,23,1989,0,1989-1990,1990,UTEP,1,183,79,0
Karl Malone,Utah Jazz,,28-Jan-90,PF,6'9,265,26,1985,4,1989-1990,1990,Louisiana Tech,1,206,120,0
Alvin Robertson,Milwaukee Bucks,,21-Jan-90,SG,6'3,185,27,1984,5,1989-1990,1990,Arkansas,1,190,83,0
Ron Harper,Los Angeles Clippers,,14-Jan-90,SG,6'6,185,26,1986,3,1989-1990,1990,Miami (OH),1,198,83,0
Terry Teagle,Golden State Warriors,,7-Jan-90,SG,6'5,195,29,1982,7,1989-1990,1990,Baylor,1,196,88,0
Karl Malone,Utah Jazz,,30-Dec-89,PF,6'9,265,26,1985,4,1989-1990,1990,Louisiana Tech,1,206,120,0
Terry Cummings,San Antonio Spurs,,24-Dec-89,PF,6'9,220,28,1982,7,1989-1990,1990,DePaul,1,206,99,0
Chris Mullin,Golden State Warriors,,17-Dec-89,SF,6'7,215,26,1985,4,1989-1990,1990,St. John's,1,201,97,0
Michael Jordan,Chicago Bulls,,10-Dec-89,SG,6'6,215,27,1984,5,1989-1990,1990,North Carolina,1,198,97,0
Patrick Ewing,New York Knicks,,3-Dec-89,C,7'0,240,27,1985,4,1989-1990,1990,Georgetown,1,213,108,0
Clyde Drexler,Portland Trail Blazers,,26-Nov-89,SG,6'7,210,27,1983,6,1989-1990,1990,Houston,1,201,95,0
John Stockton,Utah Jazz,,19-Nov-89,PG,6'1,170,27,1984,5,1989-1990,1990,Gonzaga,1,185,77,0
Vern Fleming,Indiana Pacers,,12-Nov-89,G,6'5,185,28,1984,5,1989-1990,1990,Georgia,1,196,83,0
Xavier McDaniel,Seattle SuperSonics,,23-Apr-89,PF,6'7,205,25,1985,3,1988-1989,1989,Wichita State,1,201,93,0
Karl Malone,Utah Jazz,,16-Apr-89,PF,6'9,265,25,1985,3,1988-1989,1989,Louisiana Tech,1,206,120,0
Clyde Drexler,Portland Trail Blazers,,9-Apr-89,SG,6'7,210,26,1983,5,1988-1989,1989,Houston,1,201,95,0
Michael Jordan,Chicago Bulls,,2-Apr-89,SG,6'6,215,26,1984,4,1988-1989,1989,North Carolina,1,198,97,0
Michael Jordan,Chicago Bulls,,26-Mar-89,SG,6'6,215,26,1984,4,1988-1989,1989,North Carolina,1,198,97,0
Kevin Johnson,Phoenix Suns,,19-Mar-89,PG,6'1,180,22,1987,1,1988-1989,1989,California,1,185,81,0
Isiah Thomas,Detroit Pistons,,12-Mar-89,PG,6'1,180,27,1981,7,1988-1989,1989,Indiana,1,185,81,0
Chuck Person,Indiana Pacers,,5-Mar-89,SF,6'8,220,24,1986,2,1988-1989,1989,Auburn,1,203,99,0
Patrick Ewing,New York Knicks,,26-Feb-89,C,7'0,240,26,1985,3,1988-1989,1989,Georgetown,1,213,108,0
Hakeem Olajuwon,Houston Rockets,,19-Feb-89,C,7'0,255,26,1984,4,1988-1989,1989,Houston,1,213,115,0
Ron Harper,Cleveland Cavaliers,,5-Feb-89,SG,6'6,185,25,1986,2,1988-1989,1989,Miami (OH),1,198,83,0
Tom Chambers,Phoenix Suns,,29-Jan-89,PF,6'10,220,29,1981,7,1988-1989,1989,Utah,1,208,99,0
Chris Mullin,Golden State Warriors,,22-Jan-89,SF,6'7,215,25,1985,3,1988-1989,1989,St. John's,1,201,97,0
Michael Jordan,Chicago Bulls,,15-Jan-89,SG,6'6,215,26,1984,4,1988-1989,1989,North Carolina,1,198,97,0
Dale Ellis,Seattle SuperSonics,,8-Jan-89,GF,6'7,205,28,1983,5,1988-1989,1989,Tennessee,1,201,93,0
Magic Johnson,Los Angeles Lakers,,1-Jan-89,PG,6'9,255,29,1979,9,1988-1989,1989,Michigan State,1,206,115,0
Clyde Drexler,Portland Trail Blazers,,25-Dec-88,SG,6'7,210,26,1983,5,1988-1989,1989,Houston,1,201,95,0
Robert Parish,Boston Celtics,,18-Dec-88,C,7'0,230,35,1976,11,1988-1989,1989,Centenary,1,213,104,0
Michael Adams,Denver Nuggets,,11-Dec-88,PG,5'10,163,26,1985,3,1988-1989,1989,Boston College,1,178,74,0
Magic Johnson,Los Angeles Lakers,,4-Dec-88,PG,6'9,255,29,1979,9,1988-1989,1989,Michigan State,1,206,115,0
Patrick Ewing,New York Knicks,,27-Nov-88,C,7'0,240,26,1985,3,1988-1989,1989,Georgetown,1,213,108,0
Michael Jordan,Chicago Bulls,,20-Nov-88,SG,6'6,215,26,1984,4,1988-1989,1989,North Carolina,1,198,97,0
Hakeem Olajuwon,Houston Rockets,,13-Nov-88,C,7'0,255,26,1984,4,1988-1989,1989,Houston,1,213,115,0
Karl Malone,Utah Jazz,,24-Apr-88,PF,6'9,265,24,1985,2,1987-1988,1988,Louisiana Tech,1,206,120,0
Fat Lever,Denver Nuggets,,17-Apr-88,PG,6'3,170,27,1982,5,1987-1988,1988,Arizona State,1,190,77,0
Harold Pressley,Sacramento Kings,,10-Apr-88,GF,6'7,210,24,1986,1,1987-1988,1988,Villanova,1,201,95,0
Michael Jordan,Chicago Bulls,,3-Apr-88,SG,6'6,215,25,1984,3,1987-1988,1988,North Carolina,1,198,97,0
Michael Jordan,Chicago Bulls,,27-Mar-88,SG,6'6,215,25,1984,3,1987-1988,1988,North Carolina,1,198,97,0
Charles Barkley,Philadelphia Sixers,,20-Mar-88,PF,6'6,252,25,1984,3,1987-1988,1988,Auburn,1,198,114,0
Clyde Drexler,Portland Trail Blazers,,13-Mar-88,SG,6'7,210,25,1983,4,1987-1988,1988,Houston,1,201,95,0
Bobby Hansen,Utah Jazz,,6-Mar-88,SG,6'6,190,27,1983,4,1987-1988,1988,Iowa,1,198,86,0
Roy Tarpley,Dallas Mavericks,,28-Feb-88,PF,6'11,230,23,1986,1,1987-1988,1988,Michigan,1,211,104,0
John Stockton,Utah Jazz,,21-Feb-88,PG,6'1,170,25,1984,3,1987-1988,1988,Gonzaga,1,185,77,0
Dominique Wilkins,Atlanta Hawks,,14-Feb-88,SF,6'7,200,28,1982,5,1987-1988,1988,Georgia,1,201,90,0
Bernard King,Washington Bullets,,31-Jan-88,SF,6'7,205,31,1977,10,1987-1988,1988,Tennessee,1,201,93,0
Michael Jordan,Chicago Bulls,,24-Jan-88,SG,6'6,215,25,1984,3,1987-1988,1988,North Carolina,1,198,97,0
Dominique Wilkins,Atlanta Hawks,,17-Jan-88,SF,6'7,200,28,1982,5,1987-1988,1988,Georgia,1,201,90,0
Byron Scott,Los Angeles Lakers,,10-Jan-88,SG,6'3,195,26,1983,4,1987-1988,1988,Arizona State,1,190,88,0
Karl Malone,Utah Jazz,,3-Jan-88,PF,6'9,265,24,1985,2,1987-1988,1988,Louisiana Tech,1,206,120,0
Dominique Wilkins,Atlanta Hawks,,27-Dec-87,SF,6'7,200,28,1982,5,1987-1988,1988,Georgia,1,201,90,0
Larry Nance,Phoenix Suns,,20-Dec-87,PF,6'10,205,29,1981,6,1987-1988,1988,Clemson,1,208,93,0
Magic Johnson,Los Angeles Lakers,,13-Dec-87,PG,6'9,255,28,1979,8,1987-1988,1988,Michigan State,1,206,115,0
Clyde Drexler,Portland Trail Blazers,,6-Dec-87,SG,6'7,210,25,1983,4,1987-1988,1988,Houston,1,201,95,0
Clyde Drexler,Portland Trail Blazers,,29-Nov-87,SG,6'7,210,25,1983,4,1987-1988,1988,Houston,1,201,95,0
Xavier McDaniel,Seattle SuperSonics,,22-Nov-87,PF,6'7,205,24,1985,2,1987-1988,1988,Wichita State,1,201,93,0
Larry Bird,Boston Celtics,,15-Nov-87,SF,6'9,220,31,1978,8,1987-1988,1988,Indiana State,1,206,99,0
Julius Erving,Philadelphia Sixers,,19-Apr-87,SF,6'6,200,37,1972,14,1986-1987,1987,Massachusetts,1,198,90,0
Michael Jordan,Chicago Bulls,,12-Apr-87,SG,6'6,215,24,1984,2,1986-1987,1987,North Carolina,1,198,97,0
Magic Johnson,Los Angeles Lakers,,5-Apr-87,PG,6'9,255,27,1979,7,1986-1987,1987,Michigan State,1,206,115,0
Larry Smith,Golden State Warriors,,29-Mar-87,PF,6'8,215,29,1980,6,1986-1987,1987,Alcorn State,1,203,97,0
Magic Johnson,Los Angeles Lakers,,22-Mar-87,PG,6'9,255,27,1979,7,1986-1987,1987,Michigan State,1,206,115,0
Karl Malone,Utah Jazz,,15-Mar-87,PF,6'9,265,23,1985,1,1986-1987,1987,Louisiana Tech,1,206,120,0
Magic Johnson,Los Angeles Lakers,,8-Mar-87,PG,6'9,255,27,1979,7,1986-1987,1987,Michigan State,1,206,115,0
Michael Jordan,Chicago Bulls,,1-Mar-87,SG,6'6,215,24,1984,2,1986-1987,1987,North Carolina,1,198,97,0
Moses Malone,Washington Bullets,,22-Feb-87,C,6'10,215,31,1976,10,1986-1987,1987,Petersburg High School (Virginia),1,208,97,0
Magic Johnson,Los Angeles Lakers,,15-Feb-87,PG,6'9,255,27,1979,7,1986-1987,1987,Michigan State,1,206,115,0
Fat Lever,Denver Nuggets,,1-Feb-87,PG,6'3,170,26,1982,4,1986-1987,1987,Arizona State,1,190,77,0
Alex English,Denver Nuggets,,25-Jan-87,SF,6'7,190,33,1976,10,1986-1987,1987,South Carolina,1,201,86,0
Otis Thorpe,Sacramento Kings,,18-Jan-87,PF,6'9,225,24,1984,2,1986-1987,1987,Providence,1,206,102,0
Isiah Thomas,Detroit Pistons,,11-Jan-87,PG,6'1,180,25,1981,5,1986-1987,1987,Indiana,1,185,81,0
Larry Bird,Boston Celtics,,4-Jan-87,SF,6'9,220,30,1978,7,1986-1987,1987,Indiana State,1,206,99,0
Patrick Ewing,New York Knicks,,28-Dec-86,C,7'0,240,24,1985,1,1986-1987,1987,Georgetown,1,213,108,0
Magic Johnson,Los Angeles Lakers,,21-Dec-86,PG,6'9,255,27,1979,7,1986-1987,1987,Michigan State,1,206,115,0
Dominique Wilkins,Atlanta Hawks,,14-Dec-86,SF,6'7,200,27,1982,4,1986-1987,1987,Georgia,1,201,90,0
Tom Chambers,Seattle SuperSonics,,7-Dec-86,PF,6'10,220,27,1981,5,1986-1987,1987,Utah,1,208,99,0
Hot Rod Williams,Cleveland Cavaliers,,30-Nov-86,FC,6'11,215,24,1985,0,1986-1987,1987,Tulane,1,211,97,0
Alvin Robertson,San Antonio Spurs,,23-Nov-86,SG,6'3,185,24,1984,2,1986-1987,1987,Arkansas,1,190,83,0
Robert Parish,Boston Celtics,,16-Nov-86,C,7'0,230,33,1976,9,1986-1987,1987,Centenary,1,213,104,0
Michael Jordan,Chicago Bulls,,9-Nov-86,SG,6'6,215,24,1984,2,1986-1987,1987,North Carolina,1,198,97,0
Dominique Wilkins,Atlanta Hawks,,13-Apr-86,SF,6'7,200,26,1982,3,1985-1986,1986,Georgia,1,201,90,0
Herb Williams,Indiana Pacers,,6-Apr-86,C,6'10,242,28,1981,4,1985-1986,1986,Ohio State,1,208,109,0
Charles Barkley,Philadelphia Sixers,,30-Mar-86,PF,6'6,252,23,1984,1,1985-1986,1986,Auburn,1,198,114,0
Adrian Dantley,Utah Jazz,,23-Mar-86,SF,6'5,208,30,1976,9,1985-1986,1986,Notre Dame,1,196,94,0
Larry Bird,Boston Celtics,,16-Mar-86,SF,6'9,220,29,1978,6,1985-1986,1986,Indiana State,1,206,99,0
Magic Johnson,Los Angeles Lakers,,9-Mar-86,PG,6'9,255,26,1979,6,1985-1986,1986,Michigan State,1,206,115,0
Charles Barkley,Philadelphia Sixers,,2-Mar-86,PF,6'6,252,23,1984,1,1985-1986,1986,Auburn,1,198,114,0
Sidney Moncrief,Milwaukee Bucks,,23-Feb-86,SG,6'3,180,28,1979,6,1985-1986,1986,Arkansas,1,190,81,0
Larry Bird,Boston Celtics,,16-Feb-86,SF,6'9,220,29,1978,6,1985-1986,1986,Indiana State,1,206,99,0
Alex English,Denver Nuggets,,2-Feb-86,SF,6'7,190,32,1976,9,1985-1986,1986,South Carolina,1,201,86,0
Charles Barkley,Philadelphia Sixers,,26-Jan-86,PF,6'6,252,23,1984,1,1985-1986,1986,Auburn,1,198,114,0
Larry Bird,Boston Celtics,,19-Jan-86,SF,6'9,220,29,1978,6,1985-1986,1986,Indiana State,1,206,99,0
Calvin Natt,Denver Nuggets,,12-Jan-86,F,6'6,220,29,1979,6,1985-1986,1986,Louisiana-Monroe,1,198,99,0
Clyde Drexler,Portland Trail Blazers,,5-Jan-86,SG,6'7,210,23,1983,2,1985-1986,1986,Houston,1,201,95,0
Dominique Wilkins,Atlanta Hawks,,29-Dec-85,SF,6'7,200,26,1982,3,1985-1986,1986,Georgia,1,201,90,0
Larry Nance,Phoenix Suns,,22-Dec-85,PF,6'10,205,27,1981,4,1985-1986,1986,Clemson,1,208,93,0
Alvin Robertson,San Antonio Spurs,,15-Dec-85,SG,6'3,185,23,1984,1,1985-1986,1986,Arkansas,1,190,83,0
Jeff Ruland,Washington Bullets,,8-Dec-85,C,6'10,240,27,1980,4,1985-1986,1986,Iona,1,208,108,0
Larry Bird,Boston Celtics,,1-Dec-85,SF,6'9,220,29,1978,6,1985-1986,1986,Indiana State,1,206,99,0
Alex English,Denver Nuggets,,24-Nov-85,SF,6'7,190,32,1976,9,1985-1986,1986,South Carolina,1,201,86,0
Patrick Ewing,New York Knicks,,17-Nov-85,C,7'0,240,23,1985,0,1985-1986,1986,Georgetown,1,213,108,0
Buck Williams,New Jersey Nets,,10-Nov-85,PF,6'8,215,25,1981,4,1985-1986,1986,Maryland,1,203,97,0
Derek Smith,Los Angeles Clippers,,3-Nov-85,SG,6'6,205,24,1982,3,1985-1986,1986,Louisville,1,198,93,0
Micheal Ray Richardson,New Jersey Nets,,14-Apr-85,PG,6'5,189,29,1978,6,1984-1985,1985,Montana,1,196,85,0
Derek Smith,Los Angeles Clippers,,7-Apr-85,SG,6'6,205,23,1982,2,1984-1985,1985,Louisville,1,198,93,0
Calvin Natt,Denver Nuggets,,1-Apr-85,F,6'6,220,28,1979,5,1984-1985,1985,Louisiana-Monroe,1,198,99,0
Kareem Abdul-Jabbar,Los Angeles Lakers,,24-Mar-85,C,7'2,225,37,1969,15,1984-1985,1985,UCLA,1,218,102,0
Larry Bird,Boston Celtics,,17-Mar-85,SF,6'9,220,28,1978,5,1984-1985,1985,Indiana State,1,206,99,0
Darrell Griffith,Utah Jazz,,10-Mar-85,SG,6'4,190,26,1980,4,1984-1985,1985,Louisville,1,193,86,0
Sleepy Floyd,Golden State Warriors,,3-Mar-85,PG,6'3,170,24,1982,2,1984-1985,1985,Georgetown,1,190,77,0
Mark Aguirre,Dallas Mavericks,,24-Feb-85,SF,6'6,232,25,1981,3,1984-1985,1985,DePaul,1,198,105,0
Magic Johnson,Los Angeles Lakers,,17-Feb-85,PG,6'9,255,25,1979,5,1984-1985,1985,Michigan State,1,206,115,0
Dominique Wilkins,Atlanta Hawks,,3-Feb-85,SF,6'7,200,25,1982,2,1984-1985,1985,Georgia,1,201,90,0
Tom McMillen,Washington Bullets,,27-Jan-85,PF,6'11,215,32,1974,9,1984-1985,1985,Maryland,1,211,97,0
Michael Jordan,Chicago Bulls,,20-Jan-85,SG,6'6,215,22,1984,0,1984-1985,1985,North Carolina,1,198,97,0
World B. Free,Cleveland Cavaliers,,13-Jan-85,G,6'2,185,31,1975,9,1984-1985,1985,Guilford,1,188,83,0
Isiah Thomas,Detroit Pistons,,6-Jan-85,PG,6'1,180,23,1981,3,1984-1985,1985,Indiana,1,185,81,0
Micheal Ray Richardson,New Jersey Nets,,30-Dec-84,PG,6'5,189,29,1978,6,1984-1985,1985,Montana,1,196,85,0
Terry Cummings,Milwaukee Bucks,,23-Dec-84,PF,6'9,220,23,1982,2,1984-1985,1985,DePaul,1,206,99,0
Derek Smith,Los Angeles Clippers,,16-Dec-84,SG,6'6,205,23,1982,2,1984-1985,1985,Louisville,1,198,93,0
Orlando Woolridge,Chicago Bulls,,9-Dec-84,PF,6'9,215,25,1981,3,1984-1985,1985,Notre Dame,1,206,97,0
Jack Sikma,Seattle SuperSonics,,2-Dec-84,C,6'11,230,29,1977,7,1984-1985,1985,Illinois Wesleyan,1,211,104,0
Bernard King,New York Knicks,,25-Nov-84,SF,6'7,205,28,1977,7,1984-1985,1985,Tennessee,1,201,93,0
Moses Malone,Philadelphia Sixers,,18-Nov-84,C,6'10,215,29,1976,8,1984-1985,1985,Petersburg High School (Virginia),1,208,97,0
Alex English,Denver Nuggets,,11-Nov-84,SF,6'7,190,31,1976,8,1984-1985,1985,South Carolina,1,201,86,0
Larry Nance,Phoenix Suns,,4-Nov-84,PF,6'10,205,26,1981,3,1984-1985,1985,Clemson,1,208,93,0
Dominique Wilkins,Atlanta Hawks,,15-Apr-84,SF,6'7,200,24,1982,1,1983-1984,1984,Georgia,1,201,90,0
Kareem Abdul-Jabbar,Los Angeles Lakers,,8-Apr-84,C,7'2,225,36,1969,14,1983-1984,1984,UCLA,1,218,102,0
Isiah Thomas,Detroit Pistons,,1-Apr-84,PG,6'1,180,22,1981,2,1983-1984,1984,Indiana,1,185,81,0
Moses Malone,Philadelphia Sixers,,25-Mar-84,C,6'10,215,28,1976,7,1983-1984,1984,Petersburg High School (Virginia),1,208,97,0
Adrian Dantley,Utah Jazz,,18-Mar-84,SF,6'5,208,28,1976,7,1983-1984,1984,Notre Dame,1,196,94,0
Larry Bird,Boston Celtics,,11-Mar-84,SF,6'9,220,27,1978,4,1983-1984,1984,Indiana State,1,206,99,0
Mickey Johnson,Golden State Warriors,,4-Mar-84,PF,6'10,190,31,1974,9,1983-1984,1984,Aurora,1,208,86,0
Magic Johnson,Los Angeles Lakers,,26-Feb-84,PG,6'9,255,24,1979,4,1983-1984,1984,Michigan State,1,206,115,0
Larry Bird,Boston Celtics,,19-Feb-84,SF,6'9,220,27,1978,4,1983-1984,1984,Indiana State,1,206,99,0
Kareem Abdul-Jabbar,Los Angeles Lakers,,12-Feb-84,C,7'2,225,36,1969,14,1983-1984,1984,UCLA,1,218,102,0
Bernard King,New York Knicks,,5-Feb-84,SF,6'7,205,27,1977,6,1983-1984,1984,Tennessee,1,201,93,0
Buck Williams,New Jersey Nets,,22-Jan-84,PF,6'8,215,23,1981,2,1983-1984,1984,Maryland,1,203,97,0
Kelly Tripucka,Detroit Pistons,,15-Jan-84,SF,6'6,220,25,1981,2,1983-1984,1984,Notre Dame,1,198,99,0
Purvis Short,Golden State Warriors,,8-Jan-84,SF,6'7,210,26,1978,5,1983-1984,1984,Jackson State,1,201,95,0
Isiah Thomas,Detroit Pistons,,1-Jan-84,PG,6'1,180,22,1981,2,1983-1984,1984,Indiana,1,185,81,0
Dan Roundfield,Atlanta Hawks,,25-Dec-83,PF,6'8,205,30,1975,7,1983-1984,1984,Central Michigan,1,203,93,0
Adrian Dantley,Utah Jazz,,18-Dec-83,SF,6'5,208,28,1976,7,1983-1984,1984,Notre Dame,1,196,94,0
Jeff Ruland,Washington Bullets,,11-Dec-83,C,6'10,240,25,1980,2,1983-1984,1984,Iona,1,208,108,0
Rickey Green,Utah Jazz,,4-Dec-83,PG,6'0,170,29,1977,5,1983-1984,1984,Michigan,1,183,77,0
Mark Aguirre,Dallas Mavericks,,27-Nov-83,SF,6'6,232,24,1981,2,1983-1984,1984,DePaul,1,198,105,0
Kiki Vandeweghe,Denver Nuggets,,20-Nov-83,SF,6'8,220,25,1980,3,1983-1984,1984,UCLA,1,203,99,0
Magic Johnson,Los Angeles Lakers,,13-Nov-83,PG,6'9,255,24,1979,4,1983-1984,1984,Michigan State,1,206,115,0
Eddie Johnson,Kansas City Kings,,6-Nov-83,SF,6'7,215,24,1981,2,1983-1984,1984,Illinois,1,201,97,0
Mike Glenn,Atlanta Hawks,,17-Apr-83,G,6'2,175,27,1977,5,1982-1983,1983,Southern Illinois,1,188,79,0
Magic Johnson,Los Angeles Lakers,,10-Apr-83,PG,6'9,255,23,1979,3,1982-1983,1983,Michigan State,1,206,115,0
Larry Bird,Boston Celtics,,3-Apr-83,SF,6'9,220,26,1978,3,1982-1983,1983,Indiana State,1,206,99,0
Jeff Ruland,Washington Bullets,,27-Mar-83,C,6'10,240,24,1980,1,1982-1983,1983,Iona,1,208,108,0
Andrew Toney,Philadelphia Sixers,,20-Mar-83,G,6'3,178,25,1980,2,1982-1983,1983,Louisiana,1,190,80,0
Gus Williams,Seattle SuperSonics,,20-Mar-83,G,6'2,175,29,1975,6,1982-1983,1983,USC,1,188,79,0
Magic Johnson,Los Angeles Lakers,,13-Mar-83,PG,6'9,255,23,1979,3,1982-1983,1983,Michigan State,1,206,115,0
John Drew,Utah Jazz,,6-Mar-83,GF,6'6,205,28,1974,8,1982-1983,1983,Gardner-Webb,1,198,93,0
Walter Davis,Phoenix Suns,,27-Feb-83,GF,6'6,193,28,1977,5,1982-1983,1983,North Carolina,1,198,87,0
Larry Nance,Phoenix Suns,,20-Feb-83,PF,6'10,205,24,1981,1,1982-1983,1983,Clemson,1,208,93,0
Moses Malone,Philadelphia Sixers,,6-Feb-83,C,6'10,215,27,1976,6,1982-1983,1983,Petersburg High School (Virginia),1,208,97,0
Artis Gilmore,San Antonio Spurs,,30-Jan-83,C,7'2,240,33,1971,6,1982-1983,1983,Jacksonville,1,218,108,0
Joe Barry Carroll,Golden State Warriors,,23-Jan-83,FC,7'0,225,24,1980,2,1982-1983,1983,Purdue,1,213,102,0
Alex English,Denver Nuggets,,16-Jan-83,SF,6'7,190,29,1976,6,1982-1983,1983,South Carolina,1,201,86,0
Mickey Johnson,New Jersey Nets,,9-Jan-83,PF,6'10,190,30,1974,8,1982-1983,1983,Aurora,1,208,86,0
Kiki Vandeweghe,Denver Nuggets,,2-Jan-83,SF,6'8,220,24,1980,2,1982-1983,1983,UCLA,1,203,99,0
Maurice Lucas,Phoenix Suns,,26-Dec-82,PF,6'9,215,31,1974,6,1982-1983,1983,Marquette,1,206,97,0
Isiah Thomas,Detroit Pistons,,19-Dec-82,PG,6'1,180,21,1981,1,1982-1983,1983,Indiana,1,185,81,0
Larry Bird,Boston Celtics,,12-Dec-82,SF,6'9,220,26,1978,3,1982-1983,1983,Indiana State,1,206,99,0
Buck Williams,New Jersey Nets,,5-Dec-82,PF,6'8,215,22,1981,1,1982-1983,1983,Maryland,1,203,97,0
Larry Bird,Boston Celtics,,28-Nov-82,SF,6'9,220,26,1978,3,1982-1983,1983,Indiana State,1,206,99,0
Alex English,Denver Nuggets,,21-Nov-82,SF,6'7,190,29,1976,6,1982-1983,1983,South Carolina,1,201,86,0
Kelly Tripucka,Detroit Pistons,,14-Nov-82,SF,6'6,220,24,1981,1,1982-1983,1983,Notre Dame,1,198,99,0
Reggie Theus,Chicago Bulls,,7-Nov-82,GF,6'7,190,25,1978,4,1982-1983,1983,UNLV,1,201,86,0
Ray Williams,New Jersey Nets,,18-Apr-82,G,6'3,188,27,1977,4,1981-1982,1982,Minnesota,1,190,85,0
Billy Ray Bates,Portland Trail Blazers,,11-Apr-82,SG,6'4,210,25,1978,3,1981-1982,1982,Kentucky State,1,193,95,0
Jack Sikma,Seattle SuperSonics,,4-Apr-82,C,6'11,230,26,1977,4,1981-1982,1982,Illinois Wesleyan,1,211,104,0
Moses Malone,Houston Rockets,,28-Mar-82,C,6'10,215,26,1976,5,1981-1982,1982,Petersburg High School (Virginia),1,208,97,0
Robert Parish,Boston Celtics,,21-Mar-82,C,7'0,230,28,1976,4,1981-1982,1982,Centenary,1,213,104,0
Kelly Tripucka,Detroit Pistons,,14-Mar-82,SF,6'6,220,23,1981,0,1981-1982,1982,Notre Dame,1,198,99,0
George Gervin,San Antonio Spurs,,7-Mar-82,GF,6'7,180,29,1974,5,1981-1982,1982,Eastern Michigan,1,201,81,0
Kareem Abdul-Jabbar,Los Angeles Lakers,,28-Feb-82,C,7'2,225,34,1969,12,1981-1982,1982,UCLA,1,218,102,0
"Eddie Johnson, Jr.",Atlanta Hawks,,21-Feb-82,G,6'2,180,27,1977,4,1981-1982,1982,Auburn,1,188,81,0
Jay Vincent,Dallas Mavericks,,14-Feb-82,F,6'7,220,22,1981,0,1981-1982,1982,Michigan State,1,201,99,0
Moses Malone,Houston Rockets,,7-Feb-82,C,6'10,215,26,1976,5,1981-1982,1982,Petersburg High School (Virginia),1,208,97,0
Greg Ballard,Washington Bullets,,24-Jan-82,F,6'7,215,27,1977,4,1981-1982,1982,Oregon,1,201,97,0
Larry Bird,Boston Celtics,,17-Jan-82,SF,6'9,220,25,1978,2,1981-1982,1982,Indiana State,1,206,99,0
Gus Williams,Seattle SuperSonics,,10-Jan-82,G,6'2,175,28,1975,5,1981-1982,1982,USC,1,188,79,0
George Gervin,San Antonio Spurs,,3-Jan-82,GF,6'7,180,29,1974,5,1981-1982,1982,Eastern Michigan,1,201,81,0
Larry Bird,Boston Celtics,,27-Dec-81,SF,6'9,220,25,1978,2,1981-1982,1982,Indiana State,1,206,99,0
Bernard King,Golden State Warriors,,20-Dec-81,SF,6'7,205,25,1977,4,1981-1982,1982,Tennessee,1,201,93,0
Artis Gilmore,Chicago Bulls,,13-Dec-81,C,7'2,240,32,1971,5,1981-1982,1982,Jacksonville,1,218,108,0
George Gervin,San Antonio Spurs,,6-Dec-81,GF,6'7,180,29,1974,5,1981-1982,1982,Eastern Michigan,1,201,81,0
Alex English,Denver Nuggets,,29-Nov-81,SF,6'7,190,28,1976,5,1981-1982,1982,South Carolina,1,201,86,0
Dan Roundfield,Atlanta Hawks,,22-Nov-81,PF,6'8,205,28,1975,5,1981-1982,1982,Central Michigan,1,203,93,0
Ron Brewer,San Antonio Spurs,,15-Nov-81,G,6'4,180,26,1978,3,1981-1982,1982,Arkansas,1,193,81,0
Mychal Thompson,Portland Trail Blazers,,8-Nov-81,FC,6'10,226,27,1978,3,1981-1982,1982,Minnesota,1,208,102,0
Robert Reid,Houston Rockets,,29-Mar-81,GF,6'8,205,25,1977,3,1980-1981,1981,St. Mary's (TX),1,203,93,0
Micheal Ray Richardson,New York Knicks,,22-Mar-81,PG,6'5,189,25,1978,2,1980-1981,1981,Montana,1,196,85,0
Moses Malone,Houston Rockets,,15-Mar-81,C,6'10,215,25,1976,4,1980-1981,1981,Petersburg High School (Virginia),1,208,97,0
Larry Smith,Golden State Warriors,,8-Mar-81,PF,6'8,215,23,1980,0,1980-1981,1981,Alcorn State,1,203,97,0
Terry Tyler,Detroit Pistons,,1-Mar-81,GF,6'7,215,24,1978,2,1980-1981,1981,Detroit-Mercy,1,201,97,0
Mike Mitchell,Cleveland Cavaliers,,22-Feb-81,F,6'7,215,25,1978,2,1980-1981,1981,Auburn,1,201,97,0
Mike Newlin,New Jersey Nets,,15-Feb-81,GF,6'4,200,32,1971,9,1980-1981,1981,Utah,1,193,90,0
Caldwell Jones,Philadelphia Sixers,,8-Feb-81,FC,6'11,216,30,1973,6,1980-1981,1981,Albany State (GA),1,211,98,0
